incident_id,Incident_Title,incident_impact_level,Incident_color,provider,Playground,API,Labs,ChatGPT,api.anthropic.com,claude.ai,console.anthropic.com,Character.AI,investigating_flag,investigating_timestamp,investigating_description,identified_flag,identified_timestamp,identified_description,monitoring_flag,monitoring_timestamp,monitoring_description,resolved_flag,resolved_timestamp,resolved_description,postmortem_flag,postmortem_timestamp,postmortem_description,start_timestamp,close_timestamp,time_span,over_one_day
7030ee306075,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2023-10-23 20:33:50.383000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-10-23 20:48:00+00:00,Ongoing efforts to address the root cause of yesterday\\'s issue caused a brief disruption in service.,0,,,2023-10-23 20:33:50+00:00,2023-10-23 20:48:00+00:00,0 days 00:14:09,False
4ab172af76db,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2023-10-22 19:04:50.640000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,1,2023-10-22 19:59:15.084000+00:00,A network failure on our backend systems caused an interruption in service for some users. We have resolved the underlying issue and are monitoring to ensure systems recover.,1,2023-10-22 20:06:45.510000+00:00,This incident has been resolved.,0,,,2023-10-22 19:04:50+00:00,2023-10-22 20:06:45+00:00,0 days 01:01:54,False
7ccb2e20a0bd,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2023-10-16 16:01:34.068000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-10-16 16:41:00+00:00,This incident has been resolved.,0,,,2023-10-16 16:01:34+00:00,2023-10-16 16:41:00+00:00,0 days 00:39:25,False
af84d2692777,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2023-10-12 04:12:18.020000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-10-12 04:13:26.568000+00:00,This incident has been resolved.,0,,,2023-10-12 04:12:18+00:00,2023-10-12 04:13:26+00:00,0 days 00:01:08,False
ab21309dc9a4,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2023-10-11 20:40:34.583000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-10-11 22:05:00+00:00,We identified & resolved an issue caused by an update which was impacting a small percentage of requests.,0,,,2023-10-11 20:40:34+00:00,2023-10-11 22:05:00+00:00,0 days 01:24:25,False
d2d6e8b3824e,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2023-10-11 17:32:34.012000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-10-11 17:37:17.605000+00:00,This incident has been resolved.,0,,,2023-10-11 17:32:34+00:00,2023-10-11 17:37:17+00:00,0 days 00:04:43,False
4db111124624,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2023-10-10 22:07:34.165000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-10-10 22:20:12.550000+00:00,This incident has been resolved.,0,,,2023-10-10 22:07:34+00:00,2023-10-10 22:20:12+00:00,0 days 00:12:38,False
581b71d0f78d,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2023-10-04 15:56:34.515000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-10-04 16:06:39.448000+00:00,This incident has been resolved.,0,,,2023-10-04 15:56:34+00:00,2023-10-04 16:06:39+00:00,0 days 00:10:04,False
ef95a1a417cc,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2023-10-01 19:47:34.740000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-10-01 19:50:00+00:00,This incident has been resolved.,0,,,2023-10-01 19:47:34+00:00,2023-10-01 19:50:00+00:00,0 days 00:02:25,False
185fe57ed1f3,API slowdown/outage,4,#8f485d,StabilityAI,0,1,0,0,0,0,0,0,0,,,1,2023-03-31 20:50:00+00:00,We are investigating an outage with our API.,0,,,1,2023-03-31 21:50:00+00:00,This incident has been resolved.,0,,,2023-03-31 21:50:00+00:00,2023-03-31 21:50:00+00:00,0 days 00:00:00,False
33fa8b4ab28e,Errors with generations on some models,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,0,,,1,2023-02-02 03:08:19.903000+00:00,We are currently updating some infrastructure which may cause API errors.,0,,,1,2023-02-02 03:49:44.032000+00:00,We have completed updates and all models are running normally.,0,,,2023-02-02 03:49:44+00:00,2023-02-02 03:49:44+00:00,0 days 00:00:00,False
fbc27c54101a,Increased error rate,0,#00b093,StabilityAI,0,0,0,0,0,0,0,0,0,,,1,2023-01-26 03:22:44.445000+00:00,A networking issue at our cloud provider is causing increased error rates.,0,,,1,2023-01-26 04:48:49.043000+00:00,We just resolved the issue!,0,,,2023-01-26 04:48:49+00:00,2023-01-26 04:48:49+00:00,0 days 00:00:00,False
e6734295c179,API errors,0,#00b093,StabilityAI,0,1,0,0,0,0,0,0,1,2023-01-25 04:47:12.928000+00:00,Our cloud provider is investigating issues which may be surfacing upstream to DreamStudio and our APIs as errors.,0,,,0,,,1,2023-01-25 05:37:02.141000+00:00,All services are restored to normal operation.,0,,,2023-01-25 04:47:12+00:00,2023-01-25 05:37:02+00:00,0 days 00:49:49,False
e828e9698be0,Platform Outage,4,#8f485d,StabilityAI,0,1,0,0,0,0,0,0,0,,,1,2023-01-24 06:00:00+00:00,Network maintenance at our cloud provider is resulting in API errors. DreamStudio and the REST and gRPC APIs may produce errors. We are working with our partners on resolving the issues.,1,2023-01-24 06:38:10.044000+00:00,"Our cloud provider has restored service, we are monitoring the platform for any irregularities.",1,2023-01-24 06:57:24.186000+00:00,All services are again operating normally.,0,,,2023-01-24 06:57:24+00:00,2023-01-24 06:57:24+00:00,0 days 00:00:00,False
8f6488cdc92a,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2023-06-30 14:40:48.110000+00:00,We are currently investigating elevated error rates detected by our monitoring.,1,2023-06-30 14:50:33.913000+00:00,We are continuing to work on a fix for this incident.,1,2023-06-30 14:59:45.925000+00:00,We implemented a fix and are currently monitoring the result.,1,2023-06-30 15:05:30.402000+00:00,This incident has been resolved.,0,,,2023-06-30 14:40:48+00:00,2023-06-30 15:05:30+00:00,0 days 00:24:42,False
9501ae350eeb,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2023-06-29 10:06:34.030000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-06-29 10:28:04.750000+00:00,This incident has been resolved.,0,,,2023-06-29 10:06:34+00:00,2023-06-29 10:28:04+00:00,0 days 00:21:30,False
e52afed79e43,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,0,,,0,,,0,,,1,2023-06-04 10:09:04.509000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,2023-06-04 10:09:04+00:00,2023-06-04 10:09:04+00:00,0 days 00:00:00,False
604b9c98d21f,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,0,,,0,,,0,,,1,2023-06-03 19:49:04.908000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,2023-06-03 19:49:04+00:00,2023-06-03 19:49:04+00:00,0 days 00:00:00,False
2f9af70b9d50,Intermittent latency and errors,1,#ecc94b,StabilityAI,0,0,0,0,0,0,0,0,1,2023-06-01 23:19:04.650000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,1,2023-06-02 12:14:19.621000+00:00,We implemented a fix and are currently monitoring the result.,1,2023-06-02 19:08:39.699000+00:00,This incident has been resolved.,0,,,2023-06-01 23:19:04+00:00,2023-06-02 19:08:39+00:00,0 days 19:49:35,False
7346857b2eb5,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2023-05-25 12:46:06.215000+00:00,We are currently investigating elevated error rates detected by our monitoring.,1,2023-05-25 12:50:10.968000+00:00,An issue has been identified causing errors for SD 1.5 generations. A fix is in process.,0,,,1,2023-05-25 15:41:38.719000+00:00,This incident has been resolved.,0,,,2023-05-25 12:46:06+00:00,2023-05-25 15:41:38+00:00,0 days 02:55:32,False
a0f8017c0869,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2023-05-22 08:48:04.641000+00:00,We are currently investigating elevated error rates detected by our monitoring.,1,2023-05-22 08:59:33+00:00,An outage at our cloud provider is resulting in errors for inference on engines other than SDXL. At this time SDXL is still operating normally. We will monitor the situation and provide an update when possible.,0,,,1,2023-05-22 09:42:04.293000+00:00,The API errors have resolved.,0,,,2023-05-22 08:48:04+00:00,2023-05-22 09:42:04+00:00,0 days 00:53:59,False
09fa3dcae1ff,Increased generation times,1,#ecc94b,StabilityAI,0,1,0,0,0,0,0,0,1,2023-05-16 13:30:20.822000+00:00,We are investigating longer than expected generation times that may lead to client timeouts.,0,,,1,2023-05-17 02:30:39.701000+00:00,We have updated the API to address the sporadic latency issues and are monitoring the result.,1,2023-05-17 03:43:45.369000+00:00,Generation times have returned to normal. We will continue monitoring the platform.,0,,,2023-05-16 13:30:20+00:00,2023-05-17 03:43:45+00:00,0 days 14:13:24,False
ee77dd4f76c8,Some models unavailable due to datacenter outage,2,#ff8c00,StabilityAI,0,0,0,0,0,0,0,0,0,,,1,2023-05-11 06:45:00+00:00,A fiber cut affecting one of our infrastructure providers caused failures to occur for many requests. SDXL inference appears to be unaffected.,0,,,1,2023-05-11 09:00:00+00:00,"All services have been restored using a backup location. Additionally, an issue was identified that prevented automated status page updates during this outage.",0,,,2023-05-11 09:00:00+00:00,2023-05-11 09:00:00+00:00,0 days 00:00:00,False
7dea662a80d4,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2023-09-30 22:42:35.232000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-09-30 22:45:00+00:00,This incident has been resolved.,0,,,2023-09-30 22:42:35+00:00,2023-09-30 22:45:00+00:00,0 days 00:02:24,False
f3896ff962e0,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2023-09-26 03:39:48.400000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-09-26 03:40:00+00:00,This incident has been resolved.,0,,,2023-09-26 03:39:48+00:00,2023-09-26 03:40:00+00:00,0 days 00:00:11,False
4b9497a4c4f4,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2023-09-19 22:00:20.667000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,1,2023-09-19 22:12:53.582000+00:00,"An outage at one of our cloud providers resulted in errors for API users. Services appear to be recovering, however we will continue to monitor the situation.",1,2023-09-20 00:00:00+00:00,This incident has been resolved.,0,,,2023-09-19 22:00:20+00:00,2023-09-20 00:00:00+00:00,0 days 01:59:39,False
7ddbeb94a479,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2023-08-30 16:56:05.318000+00:00,We are currently investigating elevated error rates detected by our monitoring.,1,2023-08-30 17:04:02.058000+00:00,An outage impacting legacy models has been identified. A fix is in process.,1,2023-08-30 17:05:00.334000+00:00,We implemented a fix and are currently monitoring the result.,1,2023-08-30 18:00:00+00:00,This incident has been resolved.,0,,,2023-08-30 16:56:05+00:00,2023-08-30 18:00:00+00:00,0 days 01:03:54,False
2c2286721880,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,0,,,0,,,0,,,1,2023-08-28 20:29:44.474000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,2023-08-28 20:29:44+00:00,2023-08-28 20:29:44+00:00,0 days 00:00:00,False
bcdb2a60e1b9,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2023-08-08 22:06:50.454000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2023-08-08 22:08:00+00:00,This incident has been resolved.,0,,,2023-08-08 22:06:50+00:00,2023-08-08 22:08:00+00:00,0 days 00:01:09,False
38a9ba17873a,API Service Degraded,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,0,,,1,2024-03-31 04:43:49.754000+00:00,We have identified an issue with our orchestration layer. Some endpoints may be offline or slower to respond.,1,2024-03-31 06:18:55.087000+00:00,We have recovered all services and are monitoring to ensure no further issues arise.,1,2024-03-31 06:36:57.760000+00:00,Primary and backup systems have recovered and all services are now operating normally.,0,,,2024-03-31 06:36:57+00:00,2024-03-31 06:36:57+00:00,0 days 00:00:00,False
f2f768cbda1e,Slow API Responses,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2024-03-27 13:48:00+00:00,We are currently investigating the cause of some slow responses from both gRPC and REST APIs.,0,,,0,,,1,2024-03-27 14:04:00+00:00,This incident has been resolved.,0,,,2024-03-27 13:48:00+00:00,2024-03-27 14:04:00+00:00,0 days 00:16:00,False
68d7d7bef4df,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2024-03-15 13:29:22.965000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2024-03-15 13:34:00+00:00,This incident has been resolved.,0,,,2024-03-15 13:29:22+00:00,2024-03-15 13:34:00+00:00,0 days 00:04:37,False
bf5603ba5be6,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2024-03-07 20:53:50.733000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2024-03-07 21:08:12.777000+00:00,A service failure on our backend database temporarily disrupted API traffic. This issue has now been resolved.,0,,,2024-03-07 20:53:50+00:00,2024-03-07 21:08:12+00:00,0 days 00:14:22,False
fc6fc7368606,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2024-03-06 01:26:49.259000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2024-03-06 05:40:25.921000+00:00,This incident has been resolved.,0,,,2024-03-06 01:26:49+00:00,2024-03-06 05:40:25+00:00,0 days 04:13:36,False
976878fb5220,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2024-02-26 22:10:18.294000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2024-02-26 22:25:00+00:00,This incident has been resolved.,0,,,2024-02-26 22:10:18+00:00,2024-02-26 22:25:00+00:00,0 days 00:14:41,False
1de2f6f8b7b9,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2024-02-26 18:28:51.140000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2024-02-26 18:32:49.165000+00:00,A brief disruption in our backend services caused failure in some inference engines. The issue is now resolved.,0,,,2024-02-26 18:28:51+00:00,2024-02-26 18:32:49+00:00,0 days 00:03:58,False
475d9095de20,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2024-02-16 14:05:18.018000+00:00,We are currently investigating elevated error rates detected by our monitoring.,1,2024-02-16 15:11:17.195000+00:00,We identified a transient issue on our backend which auto-resolved.,0,,,1,2024-02-16 15:11:24.959000+00:00,This incident has been resolved.,0,,,2024-02-16 14:05:18+00:00,2024-02-16 15:11:24+00:00,0 days 01:06:06,False
7b2f13bf8235,Increased Latency Spikes,1,#ecc94b,StabilityAI,0,0,0,0,0,0,0,0,0,,,1,2024-02-13 12:55:53.112000+00:00,A backend issue is causing spikes of increased latency.,0,,,1,2024-02-14 08:06:38.605000+00:00,We have completed a backend migration that should resolve the latency spikes.,0,,,2024-02-14 08:06:38+00:00,2024-02-14 08:06:38+00:00,0 days 00:00:00,False
1050f61ace95,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2024-02-13 10:55:53.056000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2024-02-13 10:55:53.041000+00:00,This incident has been resolved.,0,,,2024-02-13 10:55:53+00:00,2024-02-13 10:55:53+00:00,0 days 00:00:00,False
737fdad2cf62,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2024-02-10 18:21:48.096000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2024-02-10 22:45:00+00:00,An outage at one of our cloud providers resulted in significant degradation of API services for several hours. This has now been resolved.,0,,,2024-02-10 18:21:48+00:00,2024-02-10 22:45:00+00:00,0 days 04:23:11,False
b5d0f2b66369,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2024-02-10 17:00:21.882000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2024-02-10 18:06:06.803000+00:00,This incident has been resolved.,0,,,2024-02-10 17:00:21+00:00,2024-02-10 18:06:06+00:00,0 days 01:05:44,False
560376bc5395,REST API Errors,4,#8f485d,StabilityAI,0,1,0,0,0,0,0,0,1,2024-06-27 17:30:23.417000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2024-06-27 17:50:57.776000+00:00,This incident has been resolved.,0,,,2024-06-27 17:30:23+00:00,2024-06-27 17:50:57+00:00,0 days 00:20:34,False
7d30216deee3,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2024-06-20 18:19:25.471000+00:00,We are currently investigating elevated error rates detected by our monitoring which is affecting our SD3 REST endpoints.,0,,,0,,,1,2024-06-20 18:26:07.086000+00:00,This incident has been resolved.,0,,,2024-06-20 18:19:25+00:00,2024-06-20 18:26:07+00:00,0 days 00:06:41,False
8144ebbb5d99,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2024-06-10 16:34:20.388000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2024-06-10 16:40:00+00:00,This incident has been resolved.,0,,,2024-06-10 16:34:20+00:00,2024-06-10 16:40:00+00:00,0 days 00:05:39,False
16cf8fac7ddf,REST API Errors,4,#8f485d,StabilityAI,0,1,0,0,0,0,0,0,1,2024-05-29 14:57:50.164000+00:00,We are currently investigating elevated error rates detected by our monitoring.,1,2024-05-29 15:06:18.704000+00:00,A network outage is impacting API services. We are continuing to work on a fix.,1,2024-05-29 15:30:06.527000+00:00,Services are recovering and we are monitoring the situation.,1,2024-05-29 15:42:33.525000+00:00,This incident has been resolved.,0,,,2024-05-29 14:57:50+00:00,2024-05-29 15:42:33+00:00,0 days 00:44:43,False
74e1d0e73fa9,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2024-05-29 11:18:22.498000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2024-05-29 12:20:10.173000+00:00,This incident has been resolved.,0,,,2024-05-29 11:18:22+00:00,2024-05-29 12:20:10+00:00,0 days 01:01:47,False
2b47870b698d,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2024-05-29 08:42:53.543000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2024-05-29 09:57:55.527000+00:00,This incident has been resolved.,0,,,2024-05-29 08:42:53+00:00,2024-05-29 09:57:55+00:00,0 days 01:15:01,False
1af7dc085203,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2024-05-29 01:12:50.919000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2024-05-29 01:18:08.165000+00:00,A network disruption impacted some traffic to V1 endpoints. This is now resolved.,0,,,2024-05-29 01:12:50+00:00,2024-05-29 01:18:08+00:00,0 days 00:05:17,False
6dac7585093e,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2024-05-28 09:22:52.743000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,1,2024-05-28 10:32:25.990000+00:00,We implemented a fix and are currently monitoring the result.,1,2024-05-28 10:36:23.176000+00:00,This incident has been resolved.,0,,,2024-05-28 09:22:52+00:00,2024-05-28 10:36:23+00:00,0 days 01:13:30,False
76ef4428c6e5,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2024-05-28 06:42:52.207000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2024-05-28 07:02:38.901000+00:00,This incident has been resolved.,0,,,2024-05-28 06:42:52+00:00,2024-05-28 07:02:38+00:00,0 days 00:19:46,False
88ae4cf02767,SDXL 1.0 Inference Errors,2,#ff8c00,StabilityAI,0,0,0,0,0,0,0,0,1,2024-05-27 13:42:52.984000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,1,2024-05-27 17:12:11.483000+00:00,SDXL 1.0 service has recovered and we are continuing to monitor it.,1,2024-05-27 18:05:48.230000+00:00,The issue has now been resolved.,0,,,2024-05-27 13:42:52+00:00,2024-05-27 18:05:48+00:00,0 days 04:22:55,False
15a97562f6f8,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2024-05-27 08:42:52.730000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2024-05-27 09:30:17.912000+00:00,This incident has been resolved.,0,,,2024-05-27 08:42:52+00:00,2024-05-27 09:30:17+00:00,0 days 00:47:25,False
ccef4428e2f1,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2024-05-24 09:27:52.110000+00:00,We are currently investigating elevated error rates detected by our monitoring.,0,,,0,,,1,2024-05-24 10:25:00+00:00,This incident has been resolved.,0,,,2024-05-24 09:27:52+00:00,2024-05-24 10:25:00+00:00,0 days 00:57:07,False
66c0e7721583,API platform outage,4,#8f485d,StabilityAI,0,1,0,0,0,0,0,0,1,2024-05-22 09:48:34.386000+00:00,We are currently investigating elevated error rates detected by our monitoring.,1,2024-05-22 12:10:36.913000+00:00,We are seeing recovery in services beginning with V2 APIs. Our team is continuing to work towards full recovery.,1,2024-05-22 13:25:08.109000+00:00,V2 APIs are stable and V1 APIs are now recovering. We are continuing to monitor.,1,2024-05-22 14:19:27.235000+00:00,This incident has been resolved.,0,,,2024-05-22 09:48:34+00:00,2024-05-22 14:19:27+00:00,0 days 04:30:52,False
b350694308a3,REST API Errors,2,#ff8c00,StabilityAI,0,1,0,0,0,0,0,0,1,2024-05-21 17:40:33.870000+00:00,We are currently investigating elevated error rates detected by our monitoring.,1,2024-05-21 20:04:48.369000+00:00,We are continuing to work on a fix for this incident.,0,,,1,2024-05-21 20:04:56.472000+00:00,This incident has been resolved.,0,,,2024-05-21 17:40:33+00:00,2024-05-21 20:04:56+00:00,0 days 02:24:22,False
b4723a178d75,Our APIs are currently experiencing some issues and we have an ongoing investigation.,0,#00b093,StabilityAI,0,1,0,0,0,0,0,0,1,2024-05-21 17:36:56.469000+00:00,We are currently investigating this incident.,0,,,0,,,1,2024-05-21 20:06:05.568000+00:00,This incident has been resolved.,0,,,2024-05-21 17:36:56+00:00,2024-05-21 20:06:05+00:00,0 days 02:29:09,False
e95e2a798f13,Increase Error Rate on Search and Replace,1,#ecc94b,StabilityAI,0,1,0,0,0,0,0,0,1,2024-05-08 22:00:00+00:00,We are troubleshooting an error in the REST API\\'s search-and-replace endpoint that is causing it to return bogus 200s with an unexpected JSON payload.,0,,,0,,,1,2024-05-08 23:00:00+00:00,This incident has been resolved.,0,,,2024-05-08 22:00:00+00:00,2024-05-08 23:00:00+00:00,0 days 01:00:00,False
