Date,Outage_Color,Incidents,Service,incident_count,partial_outage_flag,partial_outage_minutes,major_outage_flag,major_outage_minutes,outage_flag,total_outage_minutes,scaled_total_outage_minutes,outage_impact_level,provider
2024-07-19,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-07-20,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-07-21,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-07-22,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-07-23,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-07-24,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-07-25,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-07-26,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-07-27,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-07-28,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-07-29,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-07-30,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-07-31,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-08-01,#a6c731,"[{'Incident_Title': 'Elevated rate limiting errors on the API', 'Incident_Link': 'https://status.anthropic.com/incidents/nly5s6zbcvg5'}]",console.anthropic.com,1,1,15,0,0,1,15,4.5,1,anthropic
2024-08-02,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-08-03,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-08-04,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-08-05,#9bc835,"[{'Incident_Title': 'High error rates affecting inference', 'Incident_Link': 'https://status.anthropic.com/incidents/qn4crqd8ym36'}]",console.anthropic.com,1,1,7,0,0,1,7,2.1,1,anthropic
2024-08-06,#b2c72b,"[{'Incident_Title': 'Elevated error rates on API, Claude, and Console', 'Incident_Link': 'https://status.anthropic.com/incidents/xndqxrj1mnnb'}]",console.anthropic.com,1,1,22,0,0,1,22,6.6,1,anthropic
2024-08-07,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-08-08,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-08-09,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-08-10,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-08-11,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-08-12,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-08-13,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-08-14,#a5c731,"[{'Incident_Title': 'Errors when claiming Console free credits or submitting Build questionnaire', 'Incident_Link': 'https://status.anthropic.com/incidents/x0465yqg246w'}]",console.anthropic.com,1,1,14,0,0,1,14,4.2,1,anthropic
2024-08-15,#eda817,"[{'Incident_Title': 'Elevated errors for requests with images', 'Incident_Link': 'https://status.anthropic.com/incidents/fc5jtvs8k07x'}, {'Incident_Title': 'Elevated errors for some 3.5 Sonnet users', 'Incident_Link': 'https://status.anthropic.com/incidents/p70ytf88h7d5'}]",console.anthropic.com,2,1,83,0,0,1,83,24.9,2,anthropic
2024-08-16,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-08-17,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-08-18,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-08-19,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-08-20,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-08-21,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-08-22,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-08-23,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-08-24,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-08-25,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-08-26,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-08-27,#2fcc66,"[{'Incident_Title': 'Elevated error rates on Claude 3.5 Sonnet', 'Incident_Link': 'https://status.anthropic.com/incidents/s6lf7cnyxrw2'}]",console.anthropic.com,1,0,0,0,0,0,0,0.0,0,anthropic
2024-08-28,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-08-29,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-08-30,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-08-31,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-03-01,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-03-02,#2fcc66,"[{'Incident_Title': 'Elevated error rates for some models', 'Incident_Link': 'https://status.anthropic.com/incidents/rh54jd1p7477'}]",console.anthropic.com,1,0,0,0,0,0,0,0.0,0,anthropic
2024-03-03,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-03-04,#2fcc66,"[{'Incident_Title': 'claude.ai and Console temporarily degraded', 'Incident_Link': 'https://status.anthropic.com/incidents/2fc5qs2hzvzr'}]",console.anthropic.com,1,0,0,0,0,0,0,0.0,0,anthropic
2024-03-05,#2fcc66,"[{'Incident_Title': 'Google Auth degraded performance', 'Incident_Link': 'https://status.anthropic.com/incidents/br9yqm8mybdt'}, {'Incident_Title': 'Elevated error rates for Claude 3 Opus', 'Incident_Link': 'https://status.anthropic.com/incidents/j0whkvcfyybs'}]",console.anthropic.com,2,0,0,0,0,0,0,0.0,0,anthropic
2024-03-06,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-03-07,#2fcc66,"[{'Incident_Title': 'Claude 3 Opus elevated error rates', 'Incident_Link': 'https://status.anthropic.com/incidents/sjxpnt74vz3b'}]",console.anthropic.com,1,0,0,0,0,0,0,0.0,0,anthropic
2024-03-08,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-03-09,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-03-10,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-03-11,#2fcc66,"[{'Incident_Title': 'Elevated error rate', 'Incident_Link': 'https://status.anthropic.com/incidents/gy2g64fmqwjb'}]",console.anthropic.com,1,0,0,0,0,0,0,0.0,0,anthropic
2024-03-12,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-03-13,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-03-14,#2fcc66,"[{'Incident_Title': 'elevated error rates on claude-2.0', 'Incident_Link': 'https://status.anthropic.com/incidents/bpjy52zfjbm7'}]",console.anthropic.com,1,0,0,0,0,0,0,0.0,0,anthropic
2024-03-15,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-03-16,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-03-17,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-03-18,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-03-19,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-03-20,#2fcc66,"[{'Incident_Title': 'Elevated error rates on Claude 3 Haiku', 'Incident_Link': 'https://status.anthropic.com/incidents/t3fxk1ylwgq4'}, {'Incident_Title': 'Elevated errors on Claude 3 Opus', 'Incident_Link': 'https://status.anthropic.com/incidents/wx1cnb9gthdd'}]",console.anthropic.com,2,0,0,0,0,0,0,0.0,0,anthropic
2024-03-21,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-03-22,#2fcc66,"[{'Incident_Title': 'Elevated API Error Rates', 'Incident_Link': 'https://status.anthropic.com/incidents/czwvmc36gjgq'}]",console.anthropic.com,1,0,0,0,0,0,0,0.0,0,anthropic
2024-03-23,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-03-24,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-03-25,#eca218,"[{'Incident_Title': 'Partial Outage for v1.3', 'Incident_Link': 'https://status.anthropic.com/incidents/0thq6plb794h'}, {'Incident_Title': 'Elevate Opus Error Rates', 'Incident_Link': 'https://status.anthropic.com/incidents/yrpdp4bzzhg7'}]",console.anthropic.com,2,1,87,0,0,1,87,26.099999999999998,2,anthropic
2024-03-26,#a9c72f,"[{'Incident_Title': 'Degraded performance for haiku', 'Incident_Link': 'https://status.anthropic.com/incidents/xpbzq5smcjsf'}]",console.anthropic.com,1,1,16,0,0,1,16,4.8,1,anthropic
2024-03-27,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-03-28,#2fcc66,"[{'Incident_Title': 'Elevated rate of errors on Claude 3 Opus', 'Incident_Link': 'https://status.anthropic.com/incidents/tk1x8n0mbnsw'}]",console.anthropic.com,1,0,0,0,0,0,0,0.0,0,anthropic
2024-03-29,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-03-30,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-03-31,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-04-01,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-04-02,#e74c3c,"[{'Incident_Title': 'Partial outage on claude.ai and console.anthropic.com', 'Incident_Link': 'https://status.anthropic.com/incidents/jgqkj2cjxwml'}]",console.anthropic.com,1,1,837,0,0,1,837,251.1,4,anthropic
2024-04-03,#e74c3c,"[{'Incident_Title': 'Opus partially down', 'Incident_Link': 'https://status.anthropic.com/incidents/99zylp2nfykq'}]",console.anthropic.com,1,1,274,0,0,1,274,82.2,4,anthropic
2024-04-04,#eeb214,"[{'Incident_Title': 'High Opus Error Rates', 'Incident_Link': 'https://status.anthropic.com/incidents/gl42kz9j07rr'}]",console.anthropic.com,1,1,77,0,0,1,77,23.099999999999998,2,anthropic
2024-04-05,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-04-06,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-04-07,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-04-08,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-04-09,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-04-10,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-04-11,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-04-12,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-04-13,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-04-14,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-04-15,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-04-16,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-04-17,#a9c72f,"[{'Incident_Title': 'Opus elevated error rate', 'Incident_Link': 'https://status.anthropic.com/incidents/t2459rjyvh85'}]",console.anthropic.com,1,1,17,0,0,1,17,5.1,1,anthropic
2024-04-18,#efb613,"[{'Incident_Title': 'Haiku Partial Outage', 'Incident_Link': 'https://status.anthropic.com/incidents/f8qfyzkbs439'}, {'Incident_Title': 'Haiku down again', 'Incident_Link': 'https://status.anthropic.com/incidents/3ndhz9s72dhx'}, {'Incident_Title': 'Haiku outage', 'Incident_Link': 'https://status.anthropic.com/incidents/2hr8fkgz317g'}, {'Incident_Title': 'Sonnet outage', 'Incident_Link': 'https://status.anthropic.com/incidents/s33hv3bdp2s8'}]",console.anthropic.com,4,1,74,0,0,1,74,22.2,2,anthropic
2024-04-19,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-04-20,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-04-21,#2fcc66,"[{'Incident_Title': 'Elevated error rate on Claude 3 Opus', 'Incident_Link': 'https://status.anthropic.com/incidents/wnf493j31fyb'}]",console.anthropic.com,1,0,0,0,0,0,0,0.0,0,anthropic
2024-04-22,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-04-23,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-04-24,#2fcc66,"[{'Incident_Title': 'Website maintenance', 'Incident_Link': 'https://status.anthropic.com/incidents/lptmw6gj0vdz'}]",console.anthropic.com,1,0,0,0,0,0,0,0.0,0,anthropic
2024-04-25,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-04-26,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-04-27,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-04-28,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-04-29,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-04-30,#d1c51e,"[{'Incident_Title': 'Opus Partially Down', 'Incident_Link': 'https://status.anthropic.com/incidents/nx9mszx03jvk'}, {'Incident_Title': 'Opus Partial Outage', 'Incident_Link': 'https://status.anthropic.com/incidents/ryf4wfgywsq5'}]",console.anthropic.com,2,1,44,0,0,1,44,13.2,1,anthropic
2024-05-01,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-05-02,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-05-03,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-05-04,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-05-05,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-05-06,#9fc734,"[{'Incident_Title': 'Haiku Partial Outage', 'Incident_Link': 'https://status.anthropic.com/incidents/sr8swn3xvzg4'}]",console.anthropic.com,1,1,10,0,0,1,10,3.0,1,anthropic
2024-05-07,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-05-08,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-05-09,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-05-10,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-05-11,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-05-12,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-05-13,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-05-14,#2fcc66,"[{'Incident_Title': 'Delays delivering emails', 'Incident_Link': 'https://status.anthropic.com/incidents/5ycpp6c9901y'}]",console.anthropic.com,1,0,0,0,0,0,0,0.0,0,anthropic
2024-05-15,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-05-16,#99c836,"[{'Incident_Title': 'Claude Instant 1.2 Elevated Error Rates', 'Incident_Link': 'https://status.anthropic.com/incidents/m5y2l11f5qjw'}]",console.anthropic.com,1,1,6,0,0,1,6,1.7999999999999998,1,anthropic
2024-05-17,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-05-18,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-05-19,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-05-20,#b8c629,"[{'Incident_Title': 'Claude 3 Haiku Outage', 'Incident_Link': 'https://status.anthropic.com/incidents/h70zgz99hzxd'}]",console.anthropic.com,1,1,27,0,0,1,27,8.1,1,anthropic
2024-05-21,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-05-22,#a5c731,"[{'Incident_Title': 'Opus Partial Outage', 'Incident_Link': 'https://status.anthropic.com/incidents/fh1r1ypgykk6'}]",console.anthropic.com,1,1,14,0,0,1,14,4.2,1,anthropic
2024-05-23,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-05-24,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-05-25,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-05-26,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-05-27,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-05-28,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-05-29,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-05-30,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2024-05-31,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2023-12-01,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2023-12-02,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2023-12-03,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2023-12-04,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2023-12-05,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2023-12-06,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2023-12-07,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2023-12-08,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2023-12-09,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2023-12-10,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2023-12-11,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2023-12-12,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2023-12-13,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2023-12-14,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2023-12-15,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2023-12-16,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2023-12-17,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
2023-12-18,#2fcc66,[],console.anthropic.com,0,0,0,0,0,0,0,0.0,0,anthropic
